# File: L106.an_NetExp_Mt_R_C_Y.csv
# Title: NA
# Units: NA
# Column types: icin
# ----------
GCAM_region_ID,GCAM_commodity,year,value
1,Beef,1971,-0.8528991540748553
1,Beef,1972,-0.8565300934391559
1,Beef,1973,-0.851248091480441
1,Beef,1974,-0.8763908360215288
1,Beef,1975,-0.8596402418420371
1,Beef,1976,-0.8752568400448484
1,Beef,1977,-0.9352605873475824
1,Beef,1978,-0.9510804293767122
1,Beef,1979,-0.9139292453815098
1,Beef,1980,-0.9142492169051983
1,Beef,1981,-0.8694254919592724
1,Beef,1982,-0.7936061548995895
1,Beef,1983,-0.771792107346097
1,Beef,1984,-0.7727008095721011
1,Beef,1985,-0.7724669379183244
1,Beef,1986,-0.790664605720367
1,Beef,1987,-0.7634055763191776
1,Beef,1988,-0.7348529167967197
1,Beef,1989,-0.7118686577556752
1,Beef,1990,-0.6700975228057895
1,Beef,1991,-0.6112540899087152
1,Beef,1992,-0.5800802603271416
1,Beef,1993,-0.46778599435981477
1,Beef,1994,-0.370365168075931
1,Beef,1995,-0.28140200954512085
1,Beef,1996,-0.22024718552328168
1,Beef,1997,-0.20885273252193687
1,Beef,1998,-0.23463304314562422
1,Beef,1999,-0.29661862466742445
1,Beef,2000,-0.34621529981324217
1,Beef,2001,-0.3516154154489357
1,Beef,2002,-0.6007661623495498
1,Beef,2003,-0.8440481566367414
1,Beef,2004,-0.9492500151167633
1,Beef,2005,-1.0301538299819084
1,Beef,2006,-1.051694288110541
1,Beef,2007,-0.8380906754188276
1,Beef,2008,-0.591776812714923
1,Beef,2009,-0.3699845330330579
1,Beef,2010,-0.2217347821732955
1,Beef,2011,-0.15575344923486314
1,Beef,2012,-0.07715342849022731
1,Beef,2013,-0.05369624783452018
1,Beef,2014,-0.09339367862693453
1,Beef,2015,-0.09305167779621842
1,Dairy,1971,-1.1946118452659487
1,Dairy,1972,-1.7867393796822577
1,Dairy,1973,-1.7981980519829466
1,Dairy,1974,-2.102102867403684
1,Dairy,1975,-2.4064872696731765
1,Dairy,1976,-1.9876805017905104
1,Dairy,1977,-1.737129855850975
1,Dairy,1978,-1.8930809770044597
1,Dairy,1979,-1.8178299086905167
1,Dairy,1980,-1.7567958708231501
1,Dairy,1981,-1.5911621190994414
1,Dairy,1982,-1.3017609674724353
1,Dairy,1983,-1.1401481547625716
1,Dairy,1984,-0.9082570249229422
1,Dairy,1985,-0.7590570269641685
1,Dairy,1986,-0.7613905481204376
1,Dairy,1987,-0.9660254888537982
1,Dairy,1988,-1.6409795552418558
1,Dairy,1989,-2.293966653478268
1,Dairy,1990,-2.7283622312823943
1,Dairy,1991,-3.0615091648936046
1,Dairy,1992,-3.2630434950725555
1,Dairy,1993,-2.828475278514208
1,Dairy,1994,-2.863315340657729
1,Dairy,1995,-2.7472488312549506
1,Dairy,1996,-2.9371698250144287
1,Dairy,1997,-2.8912402348525177
1,Dairy,1998,-3.1075508758085393
1,Dairy,1999,-2.8805439032699165
1,Dairy,2000,-2.8882688778927674
1,Dairy,2001,-2.7762793382296413
1,Dairy,2002,-2.576489678951178
1,Dairy,2003,-2.1045073009353747
1,Dairy,2004,-1.5433465543940812
1,Dairy,2005,-1.160512740533133
1,Dairy,2006,-0.1918835317275012
1,Dairy,2007,0.3017395411466434
1,Dairy,2008,1.179842403109225
1,Dairy,2009,2.055833445741482
1,Dairy,2010,2.740256721219002
1,Dairy,2011,3.2797418693325966
1,Dairy,2012,4.084586127094049
1,Dairy,2013,4.3341723984318135
1,Dairy,2014,4.262052507794812
1,Dairy,2015,4.799037958194064
1,OtherMeat_Fish,1971,-0.5113077056415868
1,OtherMeat_Fish,1972,-0.29379944698533694
1,OtherMeat_Fish,1973,-0.20114223019828065
1,OtherMeat_Fish,1974,-0.14666465424417285
1,OtherMeat_Fish,1975,0.180476408131537
1,OtherMeat_Fish,1976,0.29465142171984654
1,OtherMeat_Fish,1977,0.3130003726154689
1,OtherMeat_Fish,1978,0.6163075368917307
1,OtherMeat_Fish,1979,0.875741960762803
1,OtherMeat_Fish,1980,0.9864501924571357
1,OtherMeat_Fish,1981,1.143737429460839
1,OtherMeat_Fish,1982,1.2887923944497937
1,OtherMeat_Fish,1983,1.114396922827798
1,OtherMeat_Fish,1984,1.0943717843149197
1,OtherMeat_Fish,1985,1.1460220420310148
1,OtherMeat_Fish,1986,1.326302334489889
1,OtherMeat_Fish,1987,1.3769484729050514
1,OtherMeat_Fish,1988,1.5678664825088056
1,OtherMeat_Fish,1989,1.6258455226165758
1,OtherMeat_Fish,1990,1.7040915733736008
1,OtherMeat_Fish,1991,1.312665514337869
1,OtherMeat_Fish,1992,1.2019681744226343
1,OtherMeat_Fish,1993,1.2904505498628043
1,OtherMeat_Fish,1994,1.3041633853350798
1,OtherMeat_Fish,1995,1.1330360976732439
1,OtherMeat_Fish,1996,1.2594949707879126
1,OtherMeat_Fish,1997,1.2602976511713126
1,OtherMeat_Fish,1998,1.0439978898014872
1,OtherMeat_Fish,1999,0.95840972522953
1,OtherMeat_Fish,2000,0.9742358567664562
1,OtherMeat_Fish,2001,0.8327139918521982
1,OtherMeat_Fish,2002,0.6321162714327723
1,OtherMeat_Fish,2003,0.39293038346863535
1,OtherMeat_Fish,2004,0.07751936651859526
1,OtherMeat_Fish,2005,-0.11855792460749763
1,OtherMeat_Fish,2006,-0.0897878525139857
1,OtherMeat_Fish,2007,-0.050176823237905274
1,OtherMeat_Fish,2008,-0.03459048021407984
1,OtherMeat_Fish,2009,0.09927487859259546
