# File: FAO_Fert_Cons_tN_RESOURCESTAT.csv
# Title: FAO fertilizer consumption (Ag use) by country_year
# Units: tonnes N
# Description:  Data is preprocessed and generated by gamdata-FAOSTAT
# Data source: FAOSTAT (domain:RFN FAO.udpate:2021-07-02T00:00:00)
# Date of CSV last update: 2022-04-14
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
17,Bermuda,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,11,11,11,11,11,11,11,11,11,11,11,11,11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.10583333333334,92.21166666666667,88.3175,84.42333333333333,80.52916666666667,76.635,72.74083333333334,68.84666666666666,64.9525,61.05833333333334,57.164166666666674,53.27,44.21,41.15,22.26,24.08,32.48,27.51
18,Bhutan,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,74,74,100,100,100,100,100,100,100,100,121,118,100,100,100,100,100,100,100,100,100,100,100,100,100,236.6,373.2,509.8,646.4,783,787,818,887,768,800,774,1608,686,845,776.16,758.2,888.72,920.35,853.68,790.31,1508.01,801.61
19,Bolivia (Plurinational State of),3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,2769,3800,1600,1300,1900,1523,1614,1448,2717,1300,3126,2533,2700,2800,4706,3058,4645,2326,3551,5503,2555,4314,2810,4029,4872,1332,901,3218,5369,6040,6198,6260,12192,8709,11883,13473,13825,17962,20426,19266.6,24037.58,23819.71,23120.41,19915.76,20426.96,18413.03,14593.93
20,Botswana,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,1200,1161,1500,1000,1000,1000,500,600,600,600,500,400,139,216,300,300,300,300,300,300,400,500,2132,3190,3500,3748,4100,4100,4100,5291.375,6482.75,7674.125,8865.5,10056.875,11248.25,12439.625,13631,19939,8460,15152,21983,21156,13124.18,10698.94,5589.49,12644.5,9996.86
21,Brazil,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,347591,389183,406234,498272,700480,702243,778653,905460,667840,642300,568049,812880,834100,980900,957900,814952,802500,796600,830800,841300,1085500,1220800,1140100,1250900,1438100,1545500,1660767,1668000,1640000,1977904.69,2279335.63,2607760.06,2200284.46,2345762.85,3094425.28,2821756.15,2430181.22,3091463.31,3822966.67,3456071.73,4067449.33,4529776.68,3502211.88,3632034.56,4556517.85,4593940.12,4911743.83
23,Belize,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,647,600,800,300,252,723,718,829,501,447,716,824,1126,1444,1502,1822,1900,1500,1500,1500,1500,1200,1300,1000,1300,1938,2295,2840,1900,12140,20694,2594,4109,2861,2594,1668,5858,2280,5701,6095.85,13685.78,17786.06,17614.87,16811.64,13578.74,10704.38,16541.86
26,Brunei Darussalam,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,3,3,3,3,3,3,3,3,68,183,94,177,73,247,300,300,100,93.76923076923077,87.53846153846153,81.3076923076923,75.07692307692308,68.84615384615384,62.61538461538461,56.38461538461539,50.15384615384615,43.92307692307693,37.692307692307686,31.461538461538467,25.230769230769226,19,78,101,299,82,442,126,172,604,263,293,70,243,243,243,243,243,243
27,Bulgaria,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,328057,329536,379972,348400,362574,376334,420551,450000,518000,535600,550300,479400,499000,478000,469400,548000,495000,452900,377268,189175,166139,207700,112000,152000,157800,135000,110594,144900,172302,283556,315624,240614,189946,146882,200117,213562,278360,270129,371015,245000,292381,296591,329546,365913,351120,339329,352486
28,Myanmar,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,36471,38142,42470,42931,49901,67942,69700,66800,92900,114700,115000,127400,132453,115041,92029,66800,64100,57800,63074,55000,60000,110600,115247,130893,135463,135000,125000,165000,74000,32292,68839,102012,53794,67020,80495,62235,57701,51300,116065,131001.52,185009.25,236030.75,116874.34,149662.64,256266.76,271304.03,353343.97
29,Burundi,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,228,601,329,467,442,411,500,900,300,500,1247,639,1617,1100,1000,1000,2000,1000,1000,1799,1366,1000,1000,1000,1000,1391,1822,1500,1500,514,282,429,1098,1488,809,997,1049,1942,2673,3167.75,3938.82,5613.82,4617.71,8086.77,10147.51,13456.65,6888.5
32,Cameroon,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,9326,9763,6100,4000,14600,15400,14200,16086,16590,16900,24500,26000,26900,20700,24600,22075,18200,9000,6000,9400,10204,15000,15000,18000,18900,16525,25985,21858,25576,20791,19370,33167,22773,25383,22299,22895,25297,25457,36977,28128.81,37118.28,26009.73,42522.99,39758.69,46470.08,46509.16,46509.16
33,Canada,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,512641,531200,563000,599100,755300,834400,831100,937800,965900,1069800,1254900,1338500,1225000,1144600,1182800,1160166,1197188,1157764,1253287,1317640,1405920,1456136,1576205,1670630,1652700,1625800,1682052,1564348,1541191,1642988,1649912,1539450,1776685,1371962,2068032,1909243,1914550,2051264,2490486,2787716.1,2461000,2543000,2581000,2461000,2471000,2769000,2568000
37,Central African Republic,3102,Nutrient nitrogen N (total),5157,Agricultural Use,tonnes,937,1800,600,1200,1200,1200,100,1400,1200,700,278,1100,2500,622,769,518,690,800,800,900,1000,100,100,100,100,200,200,200,200,0.77,0.07,11.85,245.07,300.82,349.7,176.77,190.06,221.67,402.7,226.51,113.26,0,219.8,210.43,86.18,86.18,213.5
