# File: FAO_For_Exp_m3_FORESTAT.csv
# Title: FAO forests export (roundwood total) by country_year
# Units: m3
# Description:  Data is preprocessed and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:FO FAO.udpate:2021-12-16T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: icicccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Armenia,1861,Roundwood,Export,m3,,,,,,,,,,,,,,,,,,,,0,0,0,16.467084358226703,16.40142609419665,13.371054781830626,231.37342124665486,230.6621815528322,555.9855889453676,1012.4499278310417,1001.1979244921289,4082.1016791898437,718.5074973658415,1517.8958638317768,1504.3624597883647,2659.4507011236847,2071.1288896882215,690.3463063000861,15.058840530160237,98.08124350337792,75.97209075853542,70.50378892106943,65.93159031573792,84.08517679143965,87.50386738142181,75.87095742525605,75.26281459792061,86.87984218502037,96.5944530789853
2,Afghanistan,1861,Roundwood,Export,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10084.358816933573,2152.9389594389345,2092.3489062671806,2084.006203093862,2091.0272593432046,2092.5444853103327,2111.466892457054,2064.781909430891,2096.7838005380872,10045.01877642953,34807.060493032004,102664.45698075923,101213.29620030287,10361.04571471573,8971.335412448128,2648.694047987803,657.8014090030821,414.6200759304119,11622.627355150284,11586.568333152914,11287.776702459085,2105.108110501391,2620.57163258653,7322.233947866618,559.48263543595294,88.23537652715773,376.77764590789286,263.90153428187693
3,Albania,1861,Roundwood,Export,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.36654450322118,1097.8650144704052,2458.152007131565,1058.996044977341,1029.1927723891688,1025.0891308872908,7022.889388487654,17.285352891290405,388.65757758194445,377.8620684086469,26019.96314525777,96715.71950593965,57932.16650564247,58267.87871852389,57444.26300142564,56932.095836537395,57577.817677608014,57785.70907844874,55984.126813909985,56989.68002504041,15931.196266191528,78720.4203466602,78274.35241905623,78456.79259261207,79219.57923796063,80194.9276078118,26697.030085185346,23190.691030689522,14171.082022632248,11799.597388876044
4,Algeria,1861,Roundwood,Export,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193.6191211679431,596.0367287469785,98.72886820777025,102.33771886476123,42.19453305134206,42.67234183009366,42.422094920196216,48.23347109817762,57.843355311663714,57.66554538820805,57.02416296875565,61.48391145705118,62.96876846722225,76.53940648480958,530.6691087687715,523.168107734019,518.503594473723,244.44226505370253,960.9405001154828,378.7042594560472,318.24349653738636,317.2627978629673,289.33994804222385,287.7004081308784,288.37097404128644,177.51315100415036,47.771376395020965,21.018131206001808,91.98788450856964,106.18647378169153,118.0598870965376
6,Andorra,1861,Roundwood,Export,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.87060441130126,88.88783647191391,561.7672601022127,328.50407755588355,118.60755703746221,115.26959050758693,114.80998265937656,115.19677965884847,113.87997198967797,114.85395432500732,111.66372470123602,113.39439191707666,112.13416754311844,114.29884701731562,114.96119957853463,113.33622449943931,112.32573033086456,113.5997248382352,114.00988984420981,110.45540900801377,112.43934262519643,112.0928497181462,111.74508338182437,111.11188176089097,111.37085894008304,522.1062256494237,216.49581217318013,381.3289518803185,757.6071984573197,2597.0384118745105,1787.3331185454392
7,Angola,1861,Roundwood,Export,m3,217668.52594540003,128315.92854516882,113598.29795009385,101452.8894900585,91557.5921837712,80868.23140068684,70398.44250559385,58373.09612684101,47814.03810231816,35133.46530182257,23940.71186698953,12071.98692653422,113.56542220626893,912.7765258529661,112.33132251144941,175.45915347778583,2618.277735955004,499.004649317702,2070.595000992644,1875.8484959476345,1944.4166584304635,1800.29327646148,1749.6277130615872,205.01782617745815,2081.7703752634757,734.1191051477456,3718.3967712721123,6020.868155988967,1316.1849061803541,715.8565160118721,840.9129459131078,12594.40998954125,12416.388166143932,4480.994313556275,2775.0789924768883,6554.550720597027,5685.494936885709,6038.595052594255,7079.864454519341,13807.501865366674,4136.933454847458,14915.740036618265,45775.66333381322,109667.83401901227,94714.70525797948,100043.7039858439,64914.84889175556,6060.738645269015
9,Argentina,1861,Roundwood,Export,m3,99.2108140134002,406.3845717978427,368.79615142375445,339.21058248232777,697.1548070681811,1909.284045458045,2957.9711520014,2332.38844574918,2385.1923392765916,1825.1147438742016,2786.953467921959,2982.64010664631,2967.024544127747,4543.39381835904,8698.529137750236,401277.10077557527,548572.3882699279,544142.613876384,320319.1189728228,549137.8632810748,200581.928974932,677545.6695765029,1151666.7123034801,619563.8707082785,505117.30795054,460603.81527967966,233809.83559019348,122630.69766296455,25311.248195776043,36273.40080434983,55579.85541300932,12937.24070971295,47623.476762434046,37050.44156797437,126225.52282739905,81834.67021746174,19667.966266489453,46401.30728693374,23428.406420107895,14193.621037409228,12980.24875856694,22270.194257340176,12632.96255984817,4115.45325581787,2775.3941825830007,2844.8302432031883,333682.5662634734,426962.69365736307
10,Australia,1861,Roundwood,Export,m3,6647.124538897813,12699.517868682584,55788.35556835364,54755.856810843754,2091.464421204543,3919.0567248875664,7343.928377382786,38535.113451508194,3525.9365015393096,5576.739495171172,8670.521900201651,7199.476119491093,4910.937176487305,6453.975435324002,27878.59185965972,32772.5430346439,5425.441202669617,15467.14811025149,144635.64072288576,180987.78662112026,247350.2664961279,442554.4471960308,305567.33412234427,354578.33037391386,714631.4509550706,497309.7705370669,996768.2464634565,1123616.2298061873,1010425.0279753795,1281533.343349925,1301169.9102417626,1075998.849801652,757513.0143592793,1067754.351808907,1079886.0842950663,959774.9525809147,1129033.7701015389,1454192.0730894937,2018081.6348229211,1392514.3497344807,1998311.478936201,2596146.2050988935,3337768.873752465,4434524.377233797,5232522.814674205,5028935.731375877,5023262.2031637225,5111918.664585431
11,Austria,1861,Roundwood,Export,m3,437519.68979909486,615774.2224166811,576578.5897303784,696223.6632131478,725439.3735263759,756679.4138052147,835881.847953499,854668.2530771344,818120.9723718709,669005.9488934434,541494.7367673555,645381.6092829516,583583.0344725748,547768.3595663086,832681.457962144,605334.0794983611,709929.0284826577,1190939.466201107,795613.4529687691,599931.8913966083,565927.5853221295,697878.3936400678,656624.9887842898,654006.8655060915,851633.3353350583,816478.7277474233,1076755.8217969437,939171.684540753,968914.5809343068,894069.7465714711,858261.8780496647,1064417.5353833965,911749.4488749538,774245.2126377451,934154.8801429877,1031178.7358230763,794292.735848699,1034667.8347597596,1082721.8495208349,882311.2421120398,875631.0732019214,758266.5043282171,847037.0270814747,905999.3995155283,890558.2364661118,981948.1787769437,915254.5197022298,642844.1449701764
12,Bahamas,1861,Roundwood,Export,m3,281262.65772798954,186022.5377404625,98420.94643707779,97638.13176844003,52286.610530113576,48708.42464986338,45331.573065865035,40983.84568004168,37734.058327696264,32809.35802265944,29241.806182288958,24993.52896048554,20741.147240690923,16641.20129293758,4173.553983572089,8255.995200194364,4178.506778870788,9.98009298635404,50.14185647133606,104.65260030023646,1410.2137659564098,2545.826492125528,1029.1927723891688,102.50891308872907,1028.9807167611225,1528.028636149783,1816.4646797285536,2086.1339619403107,2561.8296440437994,4038.832427401248,6550.752669679902,4196.083784616514,4136.772194229536,97.28210573298091,1355.0824319989486,13.23329078548864,12.8207171170016,139.54525557948486,645.5347148946812,643.5319534042565,650.7981645995043,642.3712042436932,1.0040504339411993,25.41030659309626,151.13037200506062,15.212995952958227,38.613263193342384,42.93086803510458
