# File: FAO_an_Dairy_Stocks.csv
# Title: FAO all animal stock by area_item_year
# Units: Head
# Description:  Data is preprocessed and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:QCL FAO.udpate:2022-02-16T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: iciccicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element,element_code,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
7,Angola,882,"Milk, whole fresh cow",Milk Animals,5318,Head,285000,290000,295000,275000,280000,290000,300000,310000,315000,320000,325000,330000,335000,340000,330000,320000,310000,318221,315000,320000,310000,300000,287517,330000,356000,390000,353177,404000,360545,353703,346813,360000,404000,406000,410000,406000,330000,396006,335310,336000,340000,345000,431073,437201,436817,439106,437812,440852
8,Antigua and Barbuda,882,"Milk, whole fresh cow",Milk Animals,5318,Head,3300,3100,3100,3200,3200,4100,5300,6000,5900,6100,6100,6100,6600,6600,6600,6600,6200,5924,7504,7508,7512,7515,7403,5800,5600,5500,6555,6420,6601,6684,6766,6888,6892,6895,5550,5800,5700,3220,3500,3500,3400,3500,3300,3400,3500,3400,3433,3444
9,Argentina,882,"Milk, whole fresh cow",Milk Animals,5318,Head,2750000,2800000,3000000,3050000,2750000,2615000,2911400,3125100,3100000,3050000,3000000,2970000,2950000,2940000,2890000,2830000,2600000,2400000,2300000,2100000,2200000,2300000,2350000,2300000,2400000,2500000,2500000,2450000,2450000,2150000,2000000,2000000,2100000,2300000,2200000,2150000,2100000,2100000,2150000,2193000,2193000,1950000,3448018,1773265,1720067,1595920,1615005,1643664
10,Australia,882,"Milk, whole fresh cow",Milk Animals,5318,Head,2532000,2371000,2355000,2345000,2174000,2056000,1921000,1869000,1819000,1810000,1792000,1809000,1809000,1770000,1716000,1676000,1663498,1652539,1637325,1652000,1697000,1786440,1820924,1884121,1977000,2060000,2155000,2171000,2176000,2123000,2049979,2038141,1942000,1880000,1796000,1640325,1676213,1553000,1588735,1700388,1688309,1646685,1689353,1561631,1520376,1546533,1376425,1393782
11,Austria,882,"Milk, whole fresh cow",Milk Animals,5318,Head,1044303,1042483,1026122,1015474,1008254,1002294,987867,975012,973940,972870,982262,997272,994889,988706,976458,957081,887130,883614,865392,841099,817935,804264,638339,633139,629875,617898,618744,620580,611739,599962,572860,540737,538431,533030,526072,527433,532295,534059,531101,526993,525258,534041,537744,536711,540820,532870,524070,524780
11,Austria,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Austria,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,6100,7000,7900,8700,9000,9300,9800,10000,9800,10000,10200,11100,11300,12500,13100,13400,13100,14700,15900,15200,16500,17100,17337,19556,19737,21850,20228,20024,19359,18224,17048,21400,22088,17683,20031,20302,22426,22502,25110,25001,25623,25812,24103,24741,27351,28399,28234,28054
11,Austria,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,45500,49500,44300,42100,39200,33400,31200,35200,22600,19500,19500,19000,19000,19784,19123,20891,20147,22702,34828,35025,38377,33961,35772,38048,39484,39404,38337,39188,39148,40324,38548,21409,23504,23172,27693,27054,28932,30171,30955,31421,31969,31200,31491,32798,34978,60330,60130,59730
12,Bahamas,882,"Milk, whole fresh cow",Milk Animals,5318,Head,1000,1000,900,900,850,750,750,700,700,700,750,750,800,800,750,700,700,669,650,784,600,550,712,675,675,675,634,614,580,600,650,700,750,700,710,700,710,720,730,740,740,745,680,681,694,700,703,706
12,Bahamas,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,6900,6900,6800,6800,6750,6750,6750,6750,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,7000,7000,7000,7000,7000,6500,6800,6800,6900,7000,6862,6865,6869,6872,6876,6879,6100,6300,6350,7087,7095,7097,7087,7105,7127,7149
13,Bahrain,882,"Milk, whole fresh cow",Milk Animals,5318,Head,2000,2000,2000,2000,2000,2000,2025,2050,2100,2300,2700,3300,3700,4100,4700,6400,7500,7100,7498,7150,7200,7000,6039,7200,7218,7107,7780,8000,7100,9500,7700,6500,5727,5730,5800,4600,4757,6274,6277,6280,6546,6549,5726,5266,4669,4410,4830,5124
13,Bahrain,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,800,800,800,800,800,800,800,800,800,800,800,800,800,820,850,855,860,890,900,920,940,960,970,933,980,908,998,1100,1200,1274,1300,1400,1515,1561,1539,1517,1541,1519,1600,1650,1650,1522,1690,1840,2031,2013,1995,1984
13,Bahrain,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,3600,3600,3600,3600,3400,3000,2162,2000,2000,2000,2000,2000,2000,2050,2100,2150,2200,2250,2300,2402,2350,2400,2450,2356,2460,2500,2550,2600,2650,2700,2750,2800,3234,3144,3054,2500,2772,3000,3000,2800,2500,2631,2697,2757,2783,3255,3320,3126
14,Barbados,882,"Milk, whole fresh cow",Milk Animals,5318,Head,4000,4100,4100,4500,4500,4800,5000,5000,4800,4800,5200,5500,6000,6500,7100,7100,7138,8000,8000,5100,4500,4400,4700,5000,5200,5000,4800,4400,4500,4100,3850,3650,3450,3100,3750,3700,3850,3680,3200,3300,3300,3300,2935,2933,3071,3130,3171,3127
