# File: FAO_an_Dairy_Stocks.csv
# Title: FAO all animal stock by area_item_year
# Units: Head
# Description:  Data is preprocessed and generated by gcamdata-FAOSTAT
# Data source: FAOSTAT (domain:QCL FAO.udpate:2022-02-16T00:00:00)
# Date of CSV last update: 2022-04-03
# Column types: iciccicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element,element_code,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
32,Cameroon,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,400000,400000,410000,410000,410000,435000,435000,432000,435000,410000,400000,402000,472000,560000,590000,660000,730000,800000,817000,820000,830000,858651,869881,835000,840000,845000,850000,860000,958297,958773,959249,959724,960201,960677,961154,961630,962107,930000,932000,935000,938000,1010330,1008067,918972,929765,928891,930079,931386
32,Cameroon,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,200000,250000,250000,260000,260000,260000,260000,260000,240000,200000,200000,200000,260000,500000,580000,670000,740000,800000,820000,720075,723785,830000,731204,832000,835000,838000,840000,842000,862078,862506,862934,863362,863790,864219,864648,865076,865506,910000,912000,915000,917000,912351,968328,1006518,1052288,1054783,1030650,1052252
33,Canada,882,"Milk, whole fresh cow",Milk Animals,5318,Head,2119500,2068000,2042000,2023000,1974000,1907000,1825000,1773000,1764000,1780000,1736000,1679000,1618000,1547000,1432900,1408000,1394000,1373000,1328100,1282500,1222500,1223500,1244900,1237200,1231100,1184000,1156700,1103400,1091000,1083900,1065500,1054900,1041400,1019100,997500,984700,965600,966200,965600,958400,960500,959300,945600,943700,945000,972300,977700,980700
35,Cabo Verde,882,"Milk, whole fresh cow",Milk Animals,5318,Head,1450,1250,1100,1080,1120,1200,1200,1300,1450,1250,950,1500,2200,2700,2950,4100,4250,4350,3700,3991,4065,4139,4250,8043,8050,8250,8250,8000,6452,8400,6534,8550,10500,7807,7046,7492,7512,7061,6388,6405,6416,6798,6813,6828,6762,6750,6729,6747
35,Cabo Verde,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,13000,14000,15000,19500,20000,21000,22000,21000,23000,24000,21000,21000,22000,25000,32000,52000,46000,47000,55000,60000,67000,68000,60000,59869,55000,53000,55000,52000,58712,55000,59843,70000,80000,87000,94000,73800,110000,81411,71152,73144,75192,96792,99169,101604,95448,95000,93611,94687
37,Central African Republic,882,"Milk, whole fresh cow",Milk Animals,5318,Head,49200,51600,52500,63000,70000,80850,109200,118300,121400,130000,171000,163000,170000,177000,184000,191800,199600,207600,214000,216000,218000,214616,218425,220000,230000,230258,235000,238423,240000,248747,255000,260000,265000,260000,275000,270000,275000,280000,300000,290000,290000,308629,313554,318700,314314,318436,322885,327246
38,Sri Lanka,882,"Milk, whole fresh cow",Milk Animals,5318,Head,275850,273600,278370,288390,276360,247710,262590,261900,270960,266430,268350,274350,280980,283350,279100,287200,265600,324800,323000,331600,344300,352600,354400,342300,331800,219300,221700,213600,214600,207110,211800,216050,222300,229180,238610,249320,237680,248740,251490,280250,305930,294390,301140,284400,296250,329380,323490,338350
38,Sri Lanka,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,80925,84625,91675,95100,90525,91050,95525,95775,101925,100775,105125,111025,112625,113000,112117,115200,112100,139100,133900,139700,114900,117400,115200,113800,110000,53300,55400,53300,53400,51656,51560,53060,54620,55930,57580,63120,77912,89900,86220,94290,102760,90220,67319,83150,86490,94200,91790,102050
38,Sri Lanka,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,193000,192000,192000,197000,191000,158000,162000,173000,180000,179000,182000,188000,189000,205000,176000,179000,181000,183000,161000,176000,204000,206000,207000,188000,182000,202044,180000,173000,175000,160000,168000,162000,157800,170000,166000,170000,172000,153431,190000,192000,193500,127191,130915,115491,123059,133147,132795,140337
39,Chad,882,"Milk, whole fresh cow",Milk Animals,5318,Head,400000,297000,325000,364000,407000,416000,426000,436000,446000,456000,467000,370000,380000,390000,400000,410000,420000,430000,440000,450000,413159,455000,447018,485000,545000,560000,571000,585000,599000,613000,627000,640000,654000,668000,682500,696500,713200,806720,735000,737000,737000,738000,982160,819053,846405,882539,849332,859426
39,Chad,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,390000,365000,350000,335000,350000,365000,380000,390000,400000,415000,350000,265000,270000,275000,270000,275000,280000,290000,300000,305000,315000,325000,335000,350000,355000,319352,352000,360000,378799,368200,376600,385300,394200,403700,447270,495600,507500,632105,540000,545000,548000,793653,840129,889298,941345,996501,1054844,1116603
39,Chad,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,390000,365000,350000,335000,350000,365000,380000,390000,405000,415000,380000,330000,345000,360000,380000,405000,415000,425000,440000,450000,465000,480000,550000,585000,720000,740000,768000,777000,795000,819400,838250,857500,870600,895650,914460,933660,956100,1089080,994000,1000000,1000000,1310095,1372030,1436891,1504818,1575962,1650466,1728491
39,Chad,1130,"Milk, whole fresh camel",Milk Animals,5318,Head,84000,81000,77000,55000,60000,62000,63000,65000,67000,69000,72000,69000,72000,73000,75000,78000,80000,82000,85000,84000,87000,89000,92000,95000,102000,105000,108000,108500,109000,108747,109500,110250,111000,111750,112425,113100,150096,157167,120000,122000,123000,188932,197842,207158,216913,227140,237840,249044
40,Chile,882,"Milk, whole fresh cow",Milk Animals,5318,Head,743478,724675,735430,752064,719000,724391,706296,710000,718000,715000,680000,640000,641067,659250,658530,640000,771000,890000,947700,1021100,1121100,1235600,1357900,1406400,1496800,1530000,1465000,1022448,1004245,993438,994999,1007660,1007307,989631,495465,969130,371864,976553,961629,960259,797565,772909,736967,769147,532640,798716,548113,586779
40,Chile,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,357500,406000,407000,335000,340000,315000,330000,320000,325000,330000,382622,340000,385288,390049,352081,357600,360000,370000,249695,231463,237389,248672,259597,190716,245804
41,"China, mainland",882,"Milk, whole fresh cow",Milk Animals,5318,Head,580000,620000,650000,680000,700000,685000,475000,641000,698000,817000,951000,1336000,1627000,1846000,2164000,2222000,2526000,2691000,2966000,3250000,3300000,3451000,3843000,4172000,4470000,4595000,4678000,4800000,4887000,5662000,6873000,8932000,11080000,12280000,12590000,12335000,12190000,12357000,12242000,12150000,12100000,12500000,11799000,12656000,11955000,12136667,12249222,12113630
41,"China, mainland",951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,2950000,2970000,3000000,3040000,3070000,3100000,3350000,3475000,3525000,3625000,3600000,3700000,3700000,3900000,4100000,4200000,4300000,4350000,4400000,4500000,4600000,4650000,4700000,4750000,4900000,5000000,5100000,5200000,5265000,5305000,5400000,5213000,5366000,5398000,5452000,5460000,5480000,5500000,5500000,5500000,5450000,5500000,5749170,5778379,5660774,5774848,5825534,5799582
41,"China, mainland",982,"Milk, whole fresh sheep",Milk Animals,5318,Head,14300000,14700000,15100000,15500000,15799000,15900000,16100000,16300000,16500000,16800000,17000000,17500000,17700000,18000000,18600000,18800000,19000000,20100000,20200000,20300000,21700000,22500000,27500000,30000000,30700000,32300000,35000000,38000000,38800000,39000000,39500000,39600000,40000000,41000000,40500000,39425000,45500000,49500000,43700000,43800000,44000000,44500000,41384105,42392092,41836177,41255806,41746093,43905979
41,"China, mainland",1020,"Milk, whole fresh goat",Milk Animals,5318,Head,590000,590000,600000,600000,610000,650000,894000,900000,905000,912000,925000,930000,935000,940000,945000,950000,955000,960000,965612,965000,970000,975000,1140161,1306485,1000000,1070000,1085000,1100000,1140000,1180000,1225000,1150000,1200000,1300000,1360000,1340000,1400000,1450000,1470000,1480000,1500000,1525000,1269901,1291662,1249629,1234536,1244530,1221196
41,"China, mainland",1130,"Milk, whole fresh camel",Milk Animals,5318,Head,61000,61000,61000,60000,59000,58000,58000,57000,58000,59000,60000,63000,65000,66000,67000,68000,70000,72000,73000,75000,77000,79000,80000,80000,78000,76000,75000,72000,72256,63795,61056,61272,71000,72000,73000,57076,54033,54884,65000,65500,66000,68000,64411,68186,72341,75082,86839,87892
44,Colombia,882,"Milk, whole fresh cow",Milk Animals,5318,Head,2457000,2216817,2236344,2349969,2359553,2000000,2100000,2200000,2500000,2600000,2800000,2900000,2950000,3100000,3300000,3500000,3900000,4200000,4411000,4429000,4492000,4700000,4900000,5400000,5448900,5669700,5733800,6100000,6250000,6500000,6600000,6650000,6760000,5455914,4212421,4024490,5300889,5500000,5700000,6132147,6274567,6278172,2720258,4639210,3290596,3745971,3453816,3496794
45,Comoros,882,"Milk, whole fresh cow",Milk Animals,5318,Head,5600,5750,5900,6100,6200,6300,6400,6500,6700,6800,6900,7280,7000,5600,6600,7260,7470,8000,8100,8300,8500,8800,8826,9020,9198,8900,9000,9100,9900,10186,8800,8900,9000,9100,9503,9507,9512,9517,10500,10500,10500,9536,9584,9643,9676,9663,9683,9702
46,Congo,882,"Milk, whole fresh cow",Milk Animals,5318,Head,1100,1300,1500,1600,1800,2000,1900,1600,1750,1900,2000,1850,1900,2000,2000,1900,1700,2000,1800,1353,1900,1401,2000,1436,2100,2000,2100,2100,1632,1663,2200,2300,2560,2500,2520,2550,2500,2650,2650,2700,2700,2800,2800,3000,3000,2933,2978,2970
48,Costa Rica,882,"Milk, whole fresh cow",Milk Animals,5318,Head,230000,235000,248000,269400,287800,298200,303500,295000,295000,255200,280000,272321,281308,290591,300000,310000,310000,333000,346000,354000,380000,389000,400000,410000,450000,490000,514000,525000,536000,557000,570000,572000,568000,600000,650000,643000,670000,529490,713000,705000,787000,790000,804000,830000,835000,840000,840000,838333
48,Costa Rica,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,250,300,360,470,436,436,480,500,480,454,457,520,530,560,463,472,469,570,483,489,494
49,Cuba,882,"Milk, whole fresh cow",Milk Animals,5318,Head,570000,600000,600000,615000,640000,650000,680000,680000,631261,627541,614418,607597,600329,583749,597783,582820,589475,557500,521700,535326,503145,496579,502378,511218,535752,549295,514871,528483,534504,519339,523158,446000,356000,344600,369200,374700,403500,431800,379200,379200,400300,390300,401000,365300,330200,338700,312900,311400
49,Cuba,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,850,900,900,900,950,1050,1200,3700,4800,7000,7400,8000,8262,8752,7910,6837,6841,9884,14346,15789,21745,12393,10100,14900,12800,15300,13400,14500,14200,20935
50,Cyprus,882,"Milk, whole fresh cow",Milk Animals,5318,Head,7500,6900,4000,4100,5100,5900,6600,7700,8800,10170,11800,13600,14564,16750,17364,18028,18962,20542,16903,17123,16604,20203,21783,20602,20574,19148,19287,18963,19708,21304,21416,20715,19349,19405,19291,19254,18762,19113,19640,20251,20626,22310,23046,28502,30137,31880,35020,36710
50,Cyprus,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Cyprus,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,254000,254000,152000,171000,185000,191000,194000,187000,181000,175000,160000,170000,175000,177000,177000,175000,167000,170000,170000,162000,149000,150000,145000,142000,145000,139000,126000,142000,173000,176000,152000,195702,185402,124000,189101,184040,200040,225641,246835,241334,219487,205214,205711,211146,220415,233082.68563819904,249531.56623521395,258677.41685762058
50,Cyprus,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,180000,159000,99000,108000,113000,115000,116000,117000,115000,116000,120000,123000,126000,130000,132000,128000,120000,126000,126000,119000,120500,132000,144000,144000,150000,176000,190000,194000,240600,247000,260000,280804,257274,214172,230382,213273,212140,208571,206075,187603,169674,152001,147293,154591,165687,176952.5807089208,191198.30050072473,187432.1906707076
51,Czechoslovakia,882,"Milk, whole fresh cow",Milk Animals,5318,Head,1894171,1897434,1890272,1867171,1857600,1865500,1859050,1855316,1856780,1854310,1862063,1855407,1832711,1815103,1794405,1788149,1774668,1758862,1639884,1437745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Czechoslovakia,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,412864,392887,382492,379202,383787,410484,418618,436150,448018,474037,504963,532228,542112,553136,564285,593340,583471,577316,588714,528062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Czechoslovakia,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,178600,148500,114858,95576,67104,54773,46199,40157,35294,33307,34993,35166,34388,35420,36067,35953,35537,35522,36595,41200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Azerbaijan,882,"Milk, whole fresh cow",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,619600,615800,593800,619600,644600,691800,727400,760000,786500,958917,859000,897708,930900,969100,1151340,1216833,1242132,1263475,1277357,1272020,1271565,1289180,1301565,1299231,1302963,1299033,1285784,1279096,1278208
52,Azerbaijan,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,39637.14362320136,30056.305299848063,32612.387165966575,33792.11725802127,100000,99000,110000,115000,125000,135000,150000,156000,200000,220000,235000,260000,280000,286000,305000,235422,400000,430000,261600,288300,318400,326300,311000,318567,318622
52,Azerbaijan,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,120000,110000,100000,112000,100000,90000,95000,100000,104000,108000,106000,107000,105000,126667,106000,105000,85000,82000,85000,94000,82000,120000,104800,104600,104900,104600,104700,104733,104678
53,Benin,882,"Milk, whole fresh cow",Milk Animals,5318,Head,85500,85500,90000,89000,90700,92500,94000,103600,105700,107800,110000,112000,115600,114000,114000,116000,105000,120000,286794,298532,298507,330327,287208,333467,343226,348870,363274,370526,384461,394223,403078,413155,423280,435305,446608,458152,469937,482202,494949,507650,520923,534300,548340,562530,577200,592111,607503,623376
53,Benin,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,96000,116000,117000,124000,127000,131000,135000,139000,144000,148000,153000,157000,162000,166000,139000,145000,150000,155000,158000,168000,177000,180000,150000,152000,153000,163000,177000,185000,187000,190000,195000,202500,205750,211500,216000,220800,225700,235696,245000,255000,256000,253570,258288,263104,268016,273025,278129,283327
54,Denmark,882,"Milk, whole fresh cow",Milk Animals,5318,Head,1091000,1096000,1095000,1105000,1099000,1091000,1071000,1039000,1016000,999000,1003000,951000,897000,870000,817000,776000,763000,759000,747000,708000,711000,700000,702473,701000,694000,669000,640000,636000,623358,628000,613000,589000,564265,550279,545424,557978,563128,568202,565108,587189,582340,562631,561004,571642,570038,570000,563000,565000
54,Denmark,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Denmark,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Denmark,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Dominica,882,"Milk, whole fresh cow",Milk Animals,5318,Head,1000,1000,1400,1800,2100,2400,2600,2800,3000,3200,3400,4000,4800,5200,6550,6700,7350,7150,7150,6800,7135,7117,6700,7124,7128,7131,7135,7138,7142,7145,7149,7152,7156,6750,7207,7211,7214,7900,7800,8000,7450,7454,7443,7431,7502,7544,7575,7606
56,Dominican Republic,882,"Milk, whole fresh cow",Milk Animals,5318,Head,220000,222000,230000,238000,221000,238000,245000,245000,245000,228000,229000,248000,249000,220000,185000,187000,200000,204000,205000,215000,225000,218000,250000,255714,255714,238981,302379,302399,302399,384000,253000,263000,316000,351000,375500,418000,408100,366166,345000,380000,440000,450000,460000,500000,540000,550000,590000,560000
57,Belarus,882,"Milk, whole fresh cow",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,2220100,2199100,2179600,2137100,2042700,2025000,1975000,1917000,1861000,1818000,1749000,1715600,1657700,1612900,1565000,1505600,1459000,1452200,1444600,1478100,1477400,1519000,1533500,1511600,1501500,1500200,1497500,1494800,1485200
57,Belarus,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,15125,31000,31500,31625,31500,33000,33800,34800,35900,36500,37000,36200,37000,36600,34000,34300,34402,32996,32405,31024,30644
58,Ecuador,882,"Milk, whole fresh cow",Milk Animals,5318,Head,567700,581900,590000,599000,600000,600000,620000,622687,676000,616100,567500,593000,469600,502600,522000,580200,659300,704000,697000,707000,758000,789000,794000,825000,853000,987784,993488,808856,1219929,975525,959656,1013283,934383,991143,936887,991500,1021069,1088862,1127363,1053311,1127627,979848,860886,896170,856164,832528,996503,962520
58,Ecuador,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,178000,182000,185000,190000,107000,107000,109000,110000,126000,126000,130000,102000,108000,120000,130000,126000,132000,142000,150000,156000,163000,169000,173800,171000,193000,200000,202000,204000,205000,206000,208000,210000,212000,213000,214000,226000,228000,147493,230000,235000,236500,190000,170000,160000,130000,153333,147778,143704
58,Ecuador,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,59000,60000,62000,63000,64000,66000,67000,68800,70000,72000,73500,75000,76800,61000,70000,74000,81000,85000,84000,89000,91000,96000,77000,80500,80600,81200,80700,82300,83000,84000,85000,87000,88000,90000,92000,93000,95000,65031,98000,99000,100000,20000,26000,35000,38000,13748,17272,9502
59,Egypt,882,"Milk, whole fresh cow",Milk Animals,5318,Head,904000,917000,929000,939000,950000,950000,959170,962753,964748,960000,900000,890000,885000,960000,1170000,1235000,1075000,1040000,1175000,1174000,1174000,1176380,1244000,1262000,1221447,1246787,1338420,1372069,1560000,1600000,1581886,1635289,1700000,1705000,1690435,1724239,1538160,1540000,1560000,1580000,1582500,1600000,1735775,1776393,1583280,1581467,1658564,1418355
59,Egypt,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,948000,969000,990000,1010000,1030000,1040000,1067506,1085879,1103834,1120000,1095000,1135000,1161000,1163000,1164000,1180000,1181000,1330000,1385000,1465000,1507000,1364457,1362177,1350000,1410430,1509234,1506116,1515150,1640000,1640000,1590494,1619124,1640000,1650000,1720000,1700000,1700000,1727703,1794243,1867183,1768988,1783419,1685233,1579259,1578325,1584217,728538,1310443
59,Egypt,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,135000,140000,145000,146000,150000,160000,165000,170000,380000,485000,600000,650000,700000,760000,850000,900000,1050000,1150000,1290000,1400000,1560000,1684333,1777772,1800000,1820000,1850000,1860000,1860000,1860000,1860000,1860000,1860000,1860000,1860000,1880000,1890000,1920000,1920000,1910000,1950000,2000000,2003713,1992184,2022731,1943912,1792269,861909,1175402
59,Egypt,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,265000,268000,270000,295000,296000,300000,310000,310000,312000,320000,370000,410000,445000,480000,520000,560000,600000,750000,912334,984000,1077000,1085069,1120963,1140000,1150000,1155000,1190000,1190000,1190000,1200000,1200000,1200000,1200000,1200000,1024228,1058519,1100000,1255800,1275780,1303510,1285436,1294699,1107000,1132000,1240086,1132345,372728,405163
60,El Salvador,882,"Milk, whole fresh cow",Milk Animals,5318,Head,235282,246131,254403,258876,254012,263588,274623,302928,260000,217000,170000,220000,242000,233000,239600,246400,242500,275400,289600,291000,285200,290400,240400,295800,305300,329600,273943,273943,305608,336000,292807,273464,288399,285292,317690,323293,274004,230998,291935,274543,219012,256052,229331,181736,214258,189746,181078,179858
62,Ethiopia PDR,882,"Milk, whole fresh cow",Milk Animals,5318,Head,2943300,2881100,2846700,2799700,2950300,2974400,3108000,3120000,3132000,3144000,3240000,3094000,3332000,3760000,3186000,3250000,3468000,3600000,3650000,3720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Ethiopia PDR,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,2400000,2300000,2300000,2300000,2300000,2300000,2315000,2320000,2330000,2335000,2322000,2310000,2300000,2300000,2400000,2400000,2400000,2296000,2300000,2320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Ethiopia PDR,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,1700000,1800000,1850000,1877000,1881000,1883200,1886500,1889800,1892000,1894200,1970700,1897500,1881000,1870000,1980000,1980000,1980000,1892000,1980000,1991000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Ethiopia PDR,1130,"Milk, whole fresh camel",Milk Animals,5318,Head,200000,201000,190000,192000,190000,192000,194000,196000,198000,200000,202000,204000,202000,200000,204000,206000,208000,210000,212000,214000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Estonia,882,"Milk, whole fresh cow",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,260336,253400,226700,211400,185400,171600,167700,158600,138400,131000,128600,115600,116800,116500,112800,108400,103000,96700,96700,96500,96200,96800,97900,95600,86100,86400,85200,85000,84300
63,Estonia,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Estonia,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Estonia,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1500,1700,2200,2600,2700,2400,2000,1600,1800,2500,2500,2600,2600,2800,2800,3100,2000,1900,2000,2000,2265.3721682847895,2265.3721682847895,2265.3721682847895
66,Fiji,882,"Milk, whole fresh cow",Milk Animals,5318,Head,29500,30000,31000,30000,32500,31500,33500,33100,29400,23500,20500,20000,26000,30000,30000,29100,31000,34000,36500,36805,37173,38846,39000,35300,33000,31747,27583,28134,28696,28700,36155,28000,36191,36209,29500,36420,36263,36193,30500,31000,30700,12124,12040,11898,13946,30469,51756,32620
67,Finland,882,"Milk, whole fresh cow",Milk Animals,5318,Head,823600,792600,767000,756200,745900,733550,725000,708650,690000,683000,656300,650800,620800,603000,580400,534600,508500,488700,440900,427300,426400,416700,398700,392200,390900,383100,372400,364100,354800,351817,343050,327980,318755,309419,296069,289281,290044,289339,285529,283619,283115,285246,285147,282443,274954,263640,258940,255620
67,Finland,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Finland,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Finland,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,France,882,"Milk, whole fresh cow",Milk Animals,5318,Head,7331418,7385249,7392634,7441163,7352105,7329274,7400000,7264000,7261189,7164000,7176000,7007101,6679752,6508048,6173003,5727663,5621000,5533610,5024233,4756075,4633673,4606370,4516234,4425902,4317576,4258850,4217233,4324327,4338753,4267138,4117743,4034857,3972964,3882195,3875290,3863435,3747886,3716276,3664153,3643200,3697232,3698450,3661183,3637015,3596837,3554230,3490810,3454980
68,France,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,France,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,736300,764900,774940,782730,806720,809600,810000,910000,928145,950000,950000,971664,989206,1017000,1026000,1049000,1102000,1184400,1204758,1202628,1239253,1296195,1314764,1323966,1337377,1353760,1366178,1367191,1344108,1349240,1358193,1350351,1349886,1336885,1314564,1349110,1370485,1324055,1297651,1290933,1238433,1230484,1231793,1234120,1247035,1609000,1661000,1604520
68,France,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,761610,791405,814935,832000,846000,869000,909000,905000,895000,892000,874000,828000,812000,827000,862000,886000,896000,874130,864614,839154,819894,809239,834905,844550,845858,842602,838421,842439,838873,841746,844618,837976,841894,846289,862886,860459,897913,982177,944210,906714,885006,873571,864563,861012,870142,1058000,1058000,1193400
70,French Polynesia,882,"Milk, whole fresh cow",Milk Animals,5318,Head,580,600,600,600,600,600,600,700,778,1250,989,960,980,1000,930,900,900,890,850,900,800,579,715,680,690,450,650,620,580,450,500,674,520,530,578,578,583,500,500,510,500,500,430,477,469,459,468,465
72,Djibouti,882,"Milk, whole fresh cow",Milk Animals,5318,Head,2400,2600,2600,2800,3000,4000,4000,4600,6900,7000,8200,9400,12500,14500,15000,16500,22000,19500,19000,17963,19500,20000,20500,21000,23230,22000,24916,23000,24941,24953,24965,24000,25173,23000,25015,25027,25040,25052,26500,26500,26500,26700,25445,25588,25268,25270,25286,25302
72,Djibouti,1130,"Milk, whole fresh camel",Milk Animals,5318,Head,9300,10000,12000,18000,20000,20000,20000,20000,21300,21800,21800,22700,22700,23100,23500,24900,24900,24700,25100,25500,26000,26500,27000,27500,28003,28000,28500,29000,29500,29465,29879,30605,30000,29500,29516,29531,29968,29982,33000,34000,34000,30400,30412,30458,30793,30872,30975,31078
73,Georgia,882,"Milk, whole fresh cow",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,542900,502000,486500,514400,531300,543600,551000,575000,640100,646300,678270,704733,728011,705400,709900,591200,541000,560600,573600,561700,587700,602400,641100,563000,545000,509300,477400,458000,441800
73,Georgia,951,"Milk, whole fresh buffalo",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12600,10300,9400,9000,9558,9610,9662,10136,10652,10657,10441,10272,10306,10277,10249
73,Georgia,982,"Milk, whole fresh sheep",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,110000,120000,130000,65000,85000,180000,260000,130000,140000,170000,180000,190000,210000,230000,150000,190000,52000,50000,51000,51000,52000,65000,128678,137621,134619,144000,136563,131955,134924
73,Georgia,1020,"Milk, whole fresh goat",Milk Animals,5318,Head,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,54400,50000,52000,60000,64000,45000,44400,40000,40000,38000,33000,35700,45000,40500,36900,32300,41800,35200,31900,33300
