# File: GCAMLandProfit.csv
# Title: GCAM Land Profit from model results
# Units: NA
# Author: XZ
# Description: We pull results to compare unmanaged land value from different sources
# Source: GCAM
# Column types: ccnn
# ----------
region,LandLeaf,Tkm2,Rent_DollarPerTkm2
Africa_Eastern,FodderGrass_LChad_IRR_lo,0.0574843,1.41E+07
Africa_Eastern,FodderGrass_LChad_RFD_hi,0,0
Africa_Eastern,FodderGrass_LChad_RFD_lo,0,0
Africa_Eastern,FodderGrass_NileR_IRR_hi,0.710471,1.47E+07
Africa_Eastern,FodderGrass_NileR_IRR_lo,0.710471,9820380
Africa_Eastern,FodderGrass_NileR_RFD_hi,2.66E-05,1.48E+07
Africa_Eastern,FodderGrass_NileR_RFD_lo,2.66E-05,9800000
Africa_Eastern,FodderGrass_RiftValley_IRR_hi,0,0
Africa_Eastern,FodderGrass_RiftValley_IRR_lo,0,0
Africa_Eastern,FodderGrass_RiftValley_RFD_hi,7.05E-04,2.70E+08
Africa_Eastern,FodderGrass_RiftValley_RFD_lo,7.05E-04,1.80E+08
Africa_Eastern,FodderHerbC4_AfrCstE_IRR_hi,0,0
Africa_Eastern,FodderHerbC4_AfrCstE_IRR_lo,0,0
Africa_Eastern,FodderHerbC4_AfrCstE_RFD_hi,0,0
Africa_Eastern,FodderHerbC4_AfrCstE_RFD_lo,0,0
Africa_Eastern,FodderHerbC4_AfrCstNE_IRR_hi,0,0
Africa_Eastern,FodderHerbC4_AfrCstNE_IRR_lo,0,0
Africa_Eastern,FodderHerbC4_AfrCstNE_RFD_hi,0,0
Africa_Eastern,FodderHerbC4_AfrCstNE_RFD_lo,0,0
Africa_Eastern,FodderHerbC4_AfrIntN_IRR_hi,0,0
Africa_Eastern,FodderHerbC4_AfrIntN_IRR_lo,0,0
Africa_Eastern,FodderHerbC4_AfrIntN_RFD_hi,0,0
Africa_Eastern,FodderHerbC4_AfrIntN_RFD_lo,0,0
Africa_Eastern,FodderHerbC4_CongoR_IRR_hi,0,0
Africa_Eastern,FodderHerbC4_CongoR_IRR_lo,0,0
Africa_Eastern,FodderHerbC4_CongoR_RFD_hi,0,0
Africa_Eastern,FodderHerbC4_CongoR_RFD_lo,0,0
Africa_Eastern,FodderHerbC4_LChad_IRR_hi,0,0
Africa_Eastern,FodderHerbC4_LChad_IRR_lo,0,0
Africa_Eastern,FodderHerbC4_LChad_RFD_hi,0,0
Africa_Eastern,FodderHerbC4_LChad_RFD_lo,0,0
Africa_Eastern,FodderHerbC4_Madagascar_IRR_hi,0,0
Africa_Eastern,FodderHerbC4_Madagascar_IRR_lo,0,0
Africa_Eastern,FodderHerbC4_Madagascar_RFD_hi,0,0
Africa_Eastern,FodderHerbC4_Madagascar_RFD_lo,0,0
Africa_Eastern,FodderHerbC4_NileR_IRR_hi,0,0
Africa_Eastern,FodderHerbC4_NileR_IRR_lo,0,0
Africa_Eastern,FodderHerbC4_NileR_RFD_hi,0,0
Africa_Eastern,FodderHerbC4_NileR_RFD_lo,0,0
Africa_Eastern,FodderHerbC4_RiftValley_IRR_hi,0,0
Africa_Eastern,FodderHerbC4_RiftValley_IRR_lo,0,0
Africa_Eastern,FodderHerbC4_RiftValley_RFD_hi,0,0
Africa_Eastern,FodderHerbC4_RiftValley_RFD_lo,0,0
Africa_Eastern,FodderHerbC4_ShebJubR_IRR_hi,0,0
Africa_Eastern,FodderHerbC4_ShebJubR_IRR_lo,0,0
Africa_Eastern,FodderHerbC4_ShebJubR_RFD_hi,0,0
Africa_Eastern,FodderHerbC4_ShebJubR_RFD_lo,0,0
